Sample,Start,End,Rate (µM O2 Hr-1),R2,P-value
HMWF010,0.2,1.2,19.3,0.992,<0.001
HMWF010,0.2,1.2,19.5,0.964,<0.001
HMWF010,0.2,1.2,21.6,0.992,<0.001
HMWF011,0.2,1.2,19.4,0.971,<0.001
HMWF011,0.2,1.2,22.7,0.988,<0.001
HMWF011,0.2,1.2,10.6,0.967,<0.001
HMWF021,0.2,1.2,22.3,0.997,<0.001
HMWF021,0.2,1.2,28.9,0.988,<0.001
HMWF021,0.2,1.2,28.4,0.996,<0.001
HMWF032,0.2,1.2,21.9,0.986,<0.001
HMWF032,0.2,1.2,22.3,0.978,<0.001
HMWF032,0.2,1.2,14.7,0.977,<0.001
HMWF034,0.2,1.2,16.2,0.988,<0.001
HMWF034,0.2,1.2,28,0.95,<0.001
HMWF034,0.2,1.2,21.5,0.983,<0.001
Blank,0.2,1.2,-6.44,0.646,0.0016
Blank,0.2,1.2,-8.56,0.964,<0.001
Blank,0.2,1.2,2.23,0.802,1e-04
