Sample,Start,End,Rate (µM O2 Hr-1),R2,P-value
HMWF005,0.2,1.2,23.8,0.989,<0.001
HMWF005,0.2,1.2,28.1,0.989,<0.001
HMWF005,0.2,1.2,25.7,0.987,<0.001
HMWF006,0.2,1.2,10,0.793,1e-04
HMWF006,0.2,1.2,25.8,0.968,<0.001
HMWF006,0.2,1.2,30.3,0.988,<0.001
HMWF007,0.2,1.2,23,0.886,<0.001
HMWF007,0.2,1.2,24,0.964,<0.001
HMWF007,0.2,1.2,27.1,0.992,<0.001
HMWF011,0.2,1.2,25.6,0.981,<0.001
HMWF011,0.2,1.2,20,0.965,<0.001
HMWF011,0.2,1.2,21,0.957,<0.001
HMWF021,0.2,1.2,25,0.946,<0.001
HMWF021,0.2,1.2,17.3,0.954,<0.001
HMWF021,0.2,1.2,32,0.954,<0.001
HMWF031,0.2,1.2,28.6,0.996,<0.001
HMWF031,0.2,1.2,24.5,0.975,<0.001
HMWF031,0.2,1.2,26.3,0.96,<0.001
Blank,0.2,1.2,-3.26,0.55,0.0057
Blank,0.2,1.2,-4.75,0.781,1e-04
Blank,0.2,1.2,0.709,0.298,0.0663
