Sample,Start,End,Rate (µM O2 Hr-1),R2,P-value
HWMF004,0.1,1.1,11.4,0.99,<0.001
HWMF004,0.1,1.1,19.4,0.992,<0.001
HWMF004,0.1,1.1,18.1,0.972,<0.001
HMWF014,0.1,1.1,17.9,0.983,<0.001
HMWF014,0.1,1.1,18.8,0.991,<0.001
HMWF014,0.1,1.1,21.6,0.985,<0.001
HMWF016,0.1,1.1,23.4,0.985,<0.001
HMWF016,0.1,1.1,19.9,0.991,<0.001
HMWF016,0.1,1.1,20.5,0.995,<0.001
HMWF017,0.1,1.1,20.9,0.979,<0.001
HMWF017,0.1,1.1,20.2,0.985,<0.001
HMWF017,0.1,1.1,19.3,0.988,<0.001
HMWF018,0.1,1.1,40.2,0.97,<0.001
HMWF018,0.1,1.1,33.1,0.992,<0.001
HMWF018,0.1,1.1,34.6,0.992,<0.001
HMWF029,0.1,1.1,14.8,0.989,<0.001
HMWF029,0.1,1.1,26.1,0.991,<0.001
HMWF029,0.1,1.1,17.5,0.97,<0.001
HMWF036,0.1,1.1,24.1,0.99,<0.001
HMWF036,0.1,1.1,24.5,0.992,<0.001
HMWF036,0.1,1.1,24.2,0.978,<0.001
Blank,0.1,1.1,1.58,0.715,5e-04
Blank,0.1,1.1,0.813,0.17,0.1829
Blank,0.1,1.1,2.16,0.847,<0.001
