Project Name : 20150617_BacterialRespiration_a_MEM       Generated On : 18/06/2015, 21:56:47
Start Date/Time: 17/06/2015, 10:24:34
End Date/Time: 17/06/2015, 16:35:03
User Comment : A: HMWF001, HMWF003; B: HMWF004, HMWF005; C: HMWF006, HMWF007; D: HMWF008, Blank
Proj. Created By :admin
SDR Serial No. : S-350
Report : @m01:IDENTIFICATION

Serial number     : SEBX0005000350      

MUX channel       : ON - 01


PARAMETERS

Sig LED current   : 040

Ref LED current   : 055

Frequency         : 060

Sending interval  : 0000

Pulse lenght      : 06

Red REF comp.     : ON

Temperature comp. : ON


FIRMWARE

ver.4.039.A3.ST   : 04/30/07, 09:14:36

@m01:RDY
Temperature : 23
Sensor Dish : Oxygen [[%] Air Saturation]
Calibration details for Oxygen
Batch No.:  PSt5-1428-01
Phase Angle cal0 : 55.01
Phase Angle cal100 : 48.01
Temperature for cal0 : 22.6
Air Pressure : 975
 
 
Date/Time;             Time/Sec.;             A1;             A2;             A3;             A4;             A5;             A6;             B1;             B2;             B3;             B4;             B5;             B6;             C1;             C2;             C3;             C4;             C5;             C6;             D1;             D2;             D3;             D4;             D5;             D6;;             Temperature;    Error;
17.06.1511:35:41;       4266;           96.88;          86.63;          94.45;          93.01;          94.94;          97.04;          100.47;         100.96;         108.26;         66.06;          61.75;          63.38;          67.25;          62.2;           61.16;          0;              0;              0;              100.8;          101.62;         95.59;          102.45;         107.76;         99.82;          ;               22.89;          ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;
17.06.1511:40:45;       4570;           96.88;          85.84;          94.29;          92.52;          95.26;          97.37;          100.8;          100.96;         108.76;         64.72;          60.58;          62.2;           66.21;          60.87;          59.84;          0;              0;              0;              100.8;          101.79;         95.75;          102.45;         107.59;         99.98;          ;               22.87;          ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;
17.06.1511:45:50;       4875;           96.72;          85.06;          93.81;          92.04;          94.94;          96.88;          100.64;         100.96;         108.93;         63.53;          58.96;          60.72;          64.87;          59.4;           58.52;          0;              0;              0;              100.47;         101.62;         95.59;          102.28;         107.59;         99.82;          ;               22.87;          ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;
17.06.1511:50:55;       5180;           96.23;          83.96;          93.33;          91.24;          94.45;          96.56;          100.47;         100.8;          109.27;         61.9;           57.21;          59.4;           63.68;          57.79;          57.06;          0;              0;              0;              100.14;         101.46;         95.42;          102.28;         107.59;         99.65;          ;               22.87;          ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;
17.06.1511:56:00;       5485;           96.4;           83.49;          93.17;          90.6;           94.62;          96.72;          100.64;         100.96;         109.94;         60.72;          56.04;          58.38;          62.79;          56.77;          55.75;          0;              0;              0;              100.14;         101.62;         95.42;          102.28;         107.59;         99.65;          ;               22.87;          ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;
17.06.1512:01:04;       5789;           96.4;           82.55;          93.01;          89.96;          94.62;          96.56;          100.8;          101.13;         110.11;         59.55;          54.6;           57.06;          61.61;          55.32;          54.74;          0;              0;              0;              99.82;          101.79;         95.42;          102.28;         108.09;         99.82;          ;               22.85;          ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;
17.06.1512:06:09;       6094;           96.4;           81.77;          92.52;          89.17;          94.78;          96.4;           100.64;         100.96;         110.44;         58.23;          53.58;          55.9;           60.58;          54.02;          53.3;           0;              0;              0;              99.49;          101.46;         95.26;          101.95;         107.59;         99.82;          ;               22.85;          ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;
17.06.1512:11:13;       6398;           96.07;          80.68;          92.52;          88.37;          94.45;          96.23;          100.64;         100.96;         110.61;         56.77;          52.43;          54.88;          59.4;           52.72;          52.14;          0;              0;              0;              99.49;          101.62;         95.26;          101.95;         108.09;         99.82;          ;               22.87;          ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;
17.06.1512:16:18;       6703;           96.07;          79.9;           92.2;           87.74;          94.45;          96.23;          100.8;          100.96;         111.12;         55.61;          51.14;          53.58;          58.52;          51.28;          51;             0;              0;              0;              99.16;          101.46;         95.1;           102.12;         107.93;         99.98;          ;               22.87;          ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;
17.06.1512:21:22;       7007;           96.07;          79.13;          91.88;          87.11;          94.94;          96.23;          101.13;         101.13;         111.46;         54.31;          50;             52.58;          57.5;           50.14;          49.85;          0;              0;              0;              98.84;          101.46;         95.26;          101.95;         107.93;         100.14;         ;               22.87;          ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;
