Sample,Start,End,Rate (µM O2 Hr-1),R2,P-value
HMWF003,0,1,34,0.938,<0.001
HMWF003,0,1,24.3,0.937,<0.001
HMWF003,0,1,21.7,0.978,<0.001
HMWF013,0,1,29.2,0.981,<0.001
HMWF013,0,1,24.7,0.994,<0.001
HMWF013,0,1,26,0.986,<0.001
HMWF015,0,1,25.4,0.95,<0.001
HMWF015,0,1,30.3,0.991,<0.001
HMWF015,0,1,30.8,0.988,<0.001
HMWF016,0,1,35.4,0.98,<0.001
HMWF016,0,1,32.1,0.993,<0.001
HMWF016,0,1,16.8,0.77,2e-04
HMWF017,0,1,20.1,0.965,<0.001
HMWF017,0,1,20.8,0.945,<0.001
HMWF017,0,1,40.9,0.946,<0.001
HMWF022,0,1,29.2,0.995,<0.001
HMWF022,0,1,30.3,0.949,<0.001
HMWF022,0,1,29.8,0.867,<0.001
HMWF036,0,1,25.4,0.953,<0.001
HMWF036,0,1,28.7,0.993,<0.001
HMWF036,0,1,24.6,0.939,<0.001
Blank,0,1,-1.74,0.228,0.1167
Blank,0,1,-3.34,0.604,0.0029
Blank,0,1,-3.1,0.546,0.006
