Sample,Start,End,Rate (µM O2 Hr-1),R2,P-value
HMWF010,0.2,1.2,17,0.907,<0.001
HMWF010,0.2,1.2,29.7,0.973,<0.001
HMWF010,0.2,1.2,35.3,0.914,<0.001
HMWF032,0.2,1.2,30.6,0.952,<0.001
HMWF032,0.2,1.2,19.4,0.966,<0.001
HMWF032,0.2,1.2,21.1,0.94,<0.001
HMWF034,0.2,1.2,36.9,0.912,<0.001
HMWF034,0.2,1.2,32.6,0.94,<0.001
HMWF034,0.2,1.2,25.9,0.97,<0.001
Blank,0.2,1.2,4.8,0.952,<0.001
Blank,0.2,1.2,3.33,0.919,<0.001
Blank,0.2,1.2,2.83,0.929,<0.001
