Sample,Start,End,Rate (µM O2 Hr-1),R2,P-value
HMWF004,0,1,-8.56,0.699,7e-04
HMWF004,0,1,-28.8,0.958,<0.001
HMWF004,0,1,-17,0.732,4e-04
HMWF008,0,1,5.57,0.747,3e-04
HMWF008,0,1,3.48,0.762,2e-04
HMWF008,0,1,-1.97,0.512,0.0088
HMWF009,0,1,5.36,0.597,0.0032
HMWF009,0,1,11.6,0.773,2e-04
HMWF009,0,1,1.99,0.225,0.1189
HHMWF018,0,1,21.7,0.945,<0.001
HHMWF018,0,1,17.4,0.887,<0.001
HHMWF018,0,1,-23,0.925,<0.001
HMWF023,0,1,0.959,0.267,0.0853
HMWF023,0,1,0.128,0.005,0.8312
HMWF023,0,1,12.7,0.931,<0.001
HMWF035,0,1,11,0.971,<0.001
HMWF035,0,1,6.77,0.849,<0.001
HMWF035,0,1,6.07,0.759,2e-04
HMWF029,0,1,5.63,0.655,0.0014
HMWF029,0,1,14.3,0.796,1e-04
HMWF029,0,1,-15.1,0.892,<0.001
Blank,0,1,11.2,0.902,<0.001
Blank,0,1,9.25,0.967,<0.001
Blank,0,1,8.94,0.901,<0.001
