Sample,Start,End,Rate (µM O2 Hr-1),R2,P-value
HMWF003,0,1,1.62,0.34,0.0466
HMWF003,0,1,12,0.986,<0.001
HMWF003,0,1,13.9,0.989,<0.001
HMWF014,0,1,-1.58,0.159,0.1999
HMWF014,0,1,10.1,0.97,<0.001
HMWF014,0,1,8.06,0.902,<0.001
HMWF015,0,1,-34.6,0.967,<0.001
HMWF015,0,1,17.2,0.985,<0.001
HMWF015,0,1,20,0.985,<0.001
HMWF016,0,1,23.5,0.959,<0.001
HMWF016,0,1,7.27,0.933,<0.001
HMWF016,0,1,13.8,0.919,<0.001
HMWF017,0,1,10.5,0.962,<0.001
HMWF017,0,1,14.1,0.99,<0.001
HMWF017,0,1,16,0.988,<0.001
HMWF022,0,1,14.5,0.986,<0.001
HMWF022,0,1,7.73,0.93,<0.001
HMWF022,0,1,9.5,0.943,<0.001
HMWF036,0,1,11.6,0.993,<0.001
HMWF036,0,1,14.9,0.781,1e-04
HMWF036,0,1,18.5,0.975,<0.001
Blank,0,1,-4.85,0.403,0.0265
Blank,0,1,-20.3,0.62,0.0024
Blank,0,1,3.56,0.444,0.018
