Sample,Start,End,Rate (µM O2 Hr-1),R2,P-value
HMWF003,0,1,21.7,0.996,<0.001
HMWF003,0,1,19.6,0.981,<0.001
HMWF003,0,1,23.9,0.99,<0.001
HMWF008,0,1,14.4,0.881,<0.001
HMWF008,0,1,19.7,0.993,<0.001
HMWF008,0,1,11.3,0.761,2e-04
HMWF009,0,1,7.51,0.758,2e-04
HMWF009,0,1,11.3,0.883,<0.001
HMWF009,0,1,10.7,0.78,1e-04
HMWF015,0,1,15.8,0.951,<0.001
HMWF015,0,1,18,0.934,<0.001
HMWF015,0,1,11,0.984,<0.001
HMWF022,0,1,6.39,0.827,<0.001
HMWF022,0,1,17.7,0.94,<0.001
HMWF022,0,1,20.3,0.986,<0.001
HMWF023,0,1,13.4,0.796,1e-04
HMWF023,0,1,13.8,0.867,<0.001
HMWF023,0,1,18.8,0.946,<0.001
HMWF025,0,1,14.4,0.849,<0.001
HMWF025,0,1,12.1,0.863,<0.001
HMWF025,0,1,18.3,0.897,<0.001
Blank,0,1,5.54,0.899,<0.001
Blank,0,1,4.24,0.95,<0.001
Blank,0,1,5.3,0.913,<0.001
