Curve,b0,A,umax,L,z,K,lag,umax.lw,umax.up,umax.lw.FI,umax.up.FI
A1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A2,0.2275,0.5744,-2.0743,-6.0243,-2.3796,0.8019,-6.2061,NA,NA,-2.0743,-2.0743
A3,0.1144,0.7152,0.0851,4.0154,-5.0666,0.8297,-0.1208,0.0827,0.0876,0.0827,0.0875
A4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A5,0.1222,0.8644,0.0783,7.4115,-4.9291,0.9866,2.6882,0.076,0.0806,0.0761,0.0805
A6,0.1885,1.7505,-4.4102,-46.2663,-2.642,1.939,-46.6301,NA,NA,-4.4102,-4.4102
A7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B4,0.1147,0.4964,0.0913,3.9048,-4.394,0.6111,0.0081,0.0846,0.0987,0.0845,0.098
B5,0.1243,0.5263,0.0834,2.8949,-4.6487,0.6506,-1.6369,0.0791,0.088,0.0791,0.0877
B6,0.1189,0.7318,0.0571,4.129,-6.3936,0.8506,-2.0145,0.0566,0.0575,0.0566,0.0575
B7,0.0983,0.6261,0.065,3.4608,-4.6224,0.7243,-1.1273,0.0618,0.0685,0.0618,0.0682
B8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C4,0.1071,0.7311,0.0831,3.4053,-4.6701,0.8382,-0.5798,0.0797,0.0867,0.0797,0.0864
C5,0.1133,0.5053,0.0906,4.5853,-4.4323,0.6186,0.7043,0.084,0.0979,0.0839,0.0973
C6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C7,0.1059,1.7033,0.0522,8.2474,-6.7334,1.8092,2.2538,0.048,0.0594,0.0471,0.0573
C8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D1,0.1047,0.2566,0.0239,4.867,-6.0118,0.3613,-7.5364,0.0231,0.0247,0.0231,0.0246
D2,0.1342,0.5837,0.0821,3.5317,-4.8864,0.7179,-1.3924,0.0789,0.0855,0.0789,0.0853
D3,0.1188,0.698,0.0537,3.8946,-6.5724,0.8167,-2.6026,0.0533,0.054,0.0533,0.054
D4,0.0861,0.7861,0.0648,3.3715,-4.5193,0.8722,-0.723,0.0618,0.068,0.0618,0.0678
D5,0.125,0.5465,0.0871,2.851,-4.6828,0.6715,-1.5318,0.0829,0.0915,0.0829,0.0912
D6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E1,0.1272,0.5425,0.0809,2.9293,-4.6913,0.6697,-1.8248,0.077,0.0851,0.077,0.0848
E2,0.1116,0.5475,0.0889,5.6484,-4.3567,0.6591,1.7536,0.0821,0.0965,0.0819,0.0958
E3,0.1198,0.7264,0.0546,4.0933,-6.5707,0.8463,-2.3564,0.0542,0.0549,0.0542,0.0549
E4,0.1331,0.5856,0.0818,3.626,-4.804,0.7187,-1.2757,0.0783,0.0855,0.0783,0.0853
E5,0.1053,3.1995,0.0748,12.4337,-6.8863,3.3048,8.1294,0.0607,0.1027,0.0742,0.0755
E6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E8,0.0136,2.9186,0.0403,9.1478,-4.534,2.9322,7.748,NA,NA,NaN,NaN
F1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2,0.1173,0.6987,0.0861,4.1549,-5.0785,0.816,-0.0272,0.0837,0.0887,0.0837,0.0885
F3,0.0932,0.7929,0.0639,4.1562,-4.5394,0.8861,-0.2846,0.0612,0.067,0.0612,0.0667
F4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
