Curve,b0,A,umax,L,z,K,lag,umax.lw,umax.up,umax.lw.FI,umax.up.FI
A1,0.2583,0.506,0.1263,2.1129,-3.2729,0.7644,-3.5967,0.1115,0.1458,0.1095,0.1431
A2,0.2154,0.5075,0.1098,2.6765,-3.1303,0.7229,-2.8043,0.097,0.1251,0.096,0.1236
A3,-6.8944,7.7045,0.3206,-29.9523,-3.4564,0.8101,28.3555,NA,NA,0.1994,0.4418
A4,0.219,0.6423,0.0659,4.1831,-3.1309,0.8613,-5.0016,0.0589,0.0744,0.0583,0.0735
A5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A6,0.1524,0.4194,0.0515,1.4906,-3.702,0.5718,-6.7062,0.0458,0.0585,0.0454,0.0576
A7,0.3476,7.8195,-1.1541,-29.9878,-2.6387,8.167,-29.3192,NA,NA,-1.1541,-1.1541
A8,0.1406,0.5412,0.1045,2.2942,-4.5159,0.6818,-1.5134,0.1012,0.108,0.1012,0.1079
B1,0.1364,0.6754,0.0937,1.5111,-4.3834,0.8119,-2.596,0.0912,0.0964,0.0912,0.0963
B2,0.1742,0.5679,0.1006,1.592,-3.3236,0.7421,-3.2634,0.0914,0.1112,0.0909,0.1104
B3,0.0855,0.0027,-0.0674,5.9809,-6.4561,0.0882,9.2807,NA,NA,-0.3658,0.231
B4,0.3468,0.0796,-0.1881,-19.1361,-2.7601,0.4264,-14.2736,NA,NA,-0.1881,-0.1881
B5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B6,0.54,0.0868,-0.3729,-1.9099,-35.0633,0.6268,1.8762,NA,NA,NaN,NaN
B7,0.2771,0.5009,0.1673,3.0323,-3.3154,0.778,-1.6207,0.1476,0.1912,0.1459,0.1887
B8,0.133,0.547,0.1922,3.3174,-3.6075,0.68,1.2857,0.1753,0.2119,0.1742,0.2102
C1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C2,0.1818,0.5097,0.0995,2.9009,-3.3494,0.6915,-2.2147,0.0893,0.1122,0.0884,0.1107
C3,0.212,0.5712,0.1135,2.8376,-3.2494,0.7831,-2.3872,0.1018,0.1274,0.101,0.1261
C4,-0.0818,0.2155,0.7034,-19.2506,-2.9939,0.1337,-19.0844,NA,NA,0.7034,0.7034
C5,0.3559,0.001,-0.1977,-16.3104,-2.5838,0.3569,-11.5661,NA,NA,-0.1977,-0.1977
C6,0.1515,0.6389,0.0599,3.7483,-3.5712,0.7904,-3.2728,0.0558,0.0645,0.0556,0.0643
C7,0.1618,0.5979,0.1121,2.0687,-3.1348,0.7597,-2.0043,0.1006,0.1267,0.0995,0.1248
C8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D1,0.1729,0.4844,0.1959,4.2025,-3.2646,0.6574,1.6528,0.1672,0.2325,0.164,0.2277
D2,0.2338,0.5669,0.1332,3.1777,-3.2216,0.8007,-1.7427,0.1193,0.1498,0.1182,0.1483
D3,0.2436,0.2661,0.1053,5.0185,-2.5827,0.5097,-1.4175,0.0709,0.1828,0.0586,0.1521
D4,0.1894,0.6297,0.1258,3.6062,-3.7013,0.8191,-0.6353,0.1176,0.1349,0.1173,0.1344
D5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D6,0.0345,0.7591,0.0449,-1.9431,-3.6785,0.7935,-4.1793,0.0423,0.0495,0.0423,0.0475
D7,0.2,0.55,0.1277,2.8677,-3.3996,0.75,-1.539,0.115,0.1431,0.1139,0.1415
D8,-0.799,1.0528,-4.3167,103.6105,-2.4414,0.2538,102.9574,NA,NA,-4.3167,-4.3167
E1,0.1757,0.6924,0.0703,5.0212,-3.0217,0.8681,-1.9277,0.0504,0.142,0.0311,0.1094
E2,-0.501,1.4949,0.0445,-13.6998,-3.6382,0.9939,16.7262,NA,NA,0.0392,0.0499
E3,0.1548,0.6196,0.1114,2.1269,-3.4156,0.7744,-1.8003,0.1032,0.1205,0.1028,0.1199
E4,0.2164,0.5901,0.085,2.9029,-3.5186,0.8065,-4.1664,0.0789,0.0918,0.0786,0.0914
E5,0.1178,0.0428,0.4858,-24.1699,-2.786,0.1606,-24.979,NA,NA,0.4858,0.4858
E6,0.3248,0.2783,4.2402,30.3362,-2.6021,0.6031,29.9779,NA,NA,4.2402,4.2402
E7,0.2441,0.1879,0.0838,22.3338,-2.6611,0.4321,14.2686,NA,NA,0.0838,0.0838
E8,0.2499,0.4069,0.1226,4.5291,-3.218,0.6569,-1.1629,0.1029,0.1492,0.1002,0.1449
F1,0.1959,0.5809,0.1213,3.2199,-3.397,0.7768,-1.3182,0.1112,0.1329,0.1106,0.132
F2,0.2177,0.4453,0.2169,4.657,-3.1376,0.663,1.7782,0.1786,0.2708,0.1727,0.261
F3,0.1693,0.3663,4.6203,0.6998,-2.8476,0.5357,0.4501,0.8392,NA,NaN,NaN
F4,0.1627,0.5366,0.0971,2.5584,-3.8071,0.6993,-2.1486,0.0908,0.104,0.0906,0.1035
F5,0.148,0.5399,0.0554,3.6652,-3.6606,0.6879,-3.7536,0.0509,0.0604,0.0507,0.06
F6,0.115,0.4465,2.9217,0.7668,-11.1743,0.5615,0.5098,NA,NA,2.9217,2.9217
F7,0.1971,0.4726,0.1017,3.5581,-3.4429,0.6697,-1.8585,0.0904,0.1157,0.0894,0.1141
F8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
