Curve,b0,A,umax,L,z,umax.lw,umax.up,umax.lw.FI,umax.up.FI
A1,0.6431,-0.6749,0.1106,5.7226,-3.5928,0.1013,0.1224,0.1004,0.1208
A2,0.5419,-0.4449,0.0652,9.9475,-3.321,0.0562,0.0769,0.0552,0.0753
A3,-9.6513,10.1196,0.6245,-25.7937,-4.3411,NA,NA,0.4822,0.7669
A5,0.2128,0.4159,0.1366,2.2244,-3.3502,0.1156,0.1648,0.1129,0.1602
A6,1.1315,-0.9219,0.1155,10.6244,-2.7866,0.0993,0.1364,0.0975,0.1335
A7,0.2194,0.4015,0.1376,2.6815,-2.9665,0.105,0.1915,0.0977,0.1775
A8,0.6282,-1.1058,0.0585,7.8504,-3.1624,0.0466,0.0881,0.0355,0.0815
B1,0.6483,-0.4357,0.1685,10.2544,-3.6681,0.1454,0.1973,0.1433,0.1937
B2,0.1802,0.6513,0.0603,2.5553,-2.9267,0.0513,0.0713,0.0505,0.0701
B3,0.3105,0.3996,0.1104,3.934,-2.6137,0.0756,0.1836,0.0649,0.1559
B4,0.1338,0.9573,0.0677,0.0827,-3.2715,0.0592,0.078,0.0585,0.0769
B5,0.6447,-0.5625,0.1498,6.0195,-3.4008,0.1289,0.1767,0.1266,0.173
B6,0.1714,-0.0327,0.2853,6.0116,-2.967,-1.8642,NA,NA,NA
B7,0.1741,0.4854,0.0936,2.8525,-3.3324,0.0791,0.1135,0.0773,0.11
B8,0.1224,0.5419,0.0857,1.7738,-4.2036,0.0808,0.0911,0.0806,0.0908
C1,0.1994,0.462,0.1658,7.7996,-3.0094,0.1176,0.2389,0.1084,0.2231
C3,0.6204,-0.5721,0.098,6.9052,-3.7204,0.0886,0.1097,0.0877,0.1083
C4,0.2396,0.5769,0.0915,2.9914,-2.8365,0.0684,0.1264,0.0634,0.1196
C5,-0.108,0.6129,0.0579,-3.4436,-3.3082,0.045,0.1556,0.0121,0.1037
C6,0.7053,-0.6575,0.0558,8.9056,-2.7622,0.0474,0.0658,0.047,0.0646
C7,0.6237,-0.6086,0.1125,5.8213,-3.9838,0.1046,0.122,0.104,0.1211
C8,0.6041,-0.5453,0.0828,7.5714,-3.6482,0.0751,0.0924,0.0744,0.0912
D1,0.2051,1.0213,0.1377,3.5139,-3.4738,0.1304,0.1456,0.1302,0.1452
D2,0.6932,-0.6209,0.1338,6.0359,-4.3924,0.1265,0.1418,0.1263,0.1413
D3,0.712,-0.5531,0.1323,6.9664,-3.0841,0.1057,0.1695,0.102,0.1627
D4,0.2188,0.6337,0.0656,4.3742,-3.1289,0.0578,0.0752,0.0571,0.0741
D5,0.1382,0.3169,0.17,16.8852,-2.9471,NA,NA,-0.0323,0.3723
D6,0.5258,-0.4058,0.0628,9.9351,-3.9754,0.0572,0.0694,0.0568,0.0688
D7,0.2691,0.7142,0.0798,3.0207,-2.7612,0.0658,0.1016,0.0638,0.0959
D8,0.1261,0.5695,0.1233,1.6417,-4.6429,0.1184,0.1286,0.1184,0.1283
E1,0.7077,-1.1254,0.0756,7.7288,-3.1087,0.0652,0.1078,0.0602,0.091
E2,-3.0291,3.6505,0.1433,-29.3335,-2.9611,NA,NA,-0.0858,0.3724
E3,0.1483,0.1524,2.2932,17.5105,-2.9927,NA,NA,-5.1254,9.7117
E4,0.6613,-0.5306,0.1487,5.696,-3.7924,0.1316,0.1693,0.1302,0.1672
E5,0.6877,-9.7139,0.2576,-0.4618,-3.1205,0.2179,1.3925,-0.4045,0.9197
E6,0.7397,-0.6081,0.1065,8.3782,-3.5801,0.0961,0.1184,0.0956,0.1173
E7,0.135,0.6749,0.1337,2.6046,-3.889,0.122,0.1475,0.1214,0.146
E8,0.6356,-0.5675,0.1297,5.8141,-3.5551,0.1124,0.1519,0.1104,0.149
F1,0.626,-0.5621,0.1174,6.2485,-3.8425,0.1063,0.1307,0.1054,0.1294
F2,0.659,-0.7437,0.069,8.9214,-3.3575,0.0623,0.0788,0.0612,0.0768
F3,0.2011,0.4885,0.1561,7.2992,-3.4307,0.1281,0.1954,0.124,0.1882
F5,0.6332,-0.5711,0.0675,8.2636,-3.286,0.0592,0.0797,0.0577,0.0773
F6,1.1369,-1.0672,0.1197,11.2346,-3.6849,0.1137,0.1262,0.1135,0.1259
F7,0.5269,-0.3759,0.0656,10.1253,-3.1184,0.0512,0.0877,0.0483,0.0829
F8,0.7851,-0.7656,0.0711,12.5693,-4.4136,0.0688,0.0736,0.0687,0.0735
