Sample	CPM
HMWF001	37902.2
HMWF001	39200.6
HMWF001_dil	4540.00
HMWF001_dil	4858.50
HMWF001_KC	3034.00
HMWF003	61490.7
HMWF003	60002.7
HMWF003_dil	7643.50
HMWF003_dil	9194.50
HMWF003_KC	2817.10
HMWF004	142294
HMWF004	298019
HMWF004_dil	14865.0
HMWF004_dil	14117.5
HMWF004_KC	3737.00
HMWF005	1385123
HMWF005	1487342
HMWF005_dil	4274154
HMWF005_dil	4014001
HMWF005_KC	972799
HMWF006	1974553
HMWF006	1854184
HMWF006_dil	3919829
HMWF006_dil	3775444
HMWF006_KC	964270
HMWF007	5304014
HMWF007	5383416
HMWF007_dil	5637153
HMWF007_dil	5904898
HMWF007_KC	1299174
HMWF008	11865.5
HMWF008	10862.0
HMWF008_dil	5225.60
HMWF008_dil	6331.70
HMWF008_KC	2469.50
Blank	3134.50
Blank_KC	2728.50
Voucher_5	1507517
Voucher_50	NA
