"2015-04-11 at 21:26"
Time(H:M:S) CO2(ppm) CellTemp(c) CellPres(kPa)
21:26:38 -1.34 50.47 99.15
21:26:39 -1.25 50.47 99.15
21:26:40 -1.48 50.47 99.15
21:26:41 -1.04 50.47 99.15
21:26:42 -1.43 50.47 99.15
21:26:43 -1.10 50.47 99.15
21:26:44 -1.36 50.47 99.15
21:26:45 -1.30 50.47 99.15
21:26:46 -1.49 50.47 99.15
21:26:47 -1.37 50.47 99.15
21:26:48 -1.32 50.47 99.15
21:26:49 -1.37 50.47 99.15
21:26:50 -1.16 50.47 99.15
21:26:51 -1.51 50.47 99.15
21:26:52 -1.24 50.47 99.15
21:26:53 -1.38 50.47 99.15
21:26:54 -1.21 50.47 99.15
21:26:55 -1.31 50.47 99.15
21:26:56 -1.29 50.47 99.15
21:26:57 -1.24 50.47 99.15
21:26:58 -1.44 50.47 99.15
21:26:59 -1.27 50.47 99.15
21:27:00 -1.57 50.47 99.15
21:27:01 -1.10 50.47 99.15
21:27:02 -1.40 50.47 99.15
21:27:03 -1.27 50.47 99.15
21:27:04 -0.97 50.47 99.15
21:27:05 -1.28 50.47 99.15
21:27:06 -1.67 50.47 99.15
21:27:07 -1.33 50.47 99.15
21:27:08 -1.14 50.47 99.15
21:27:09 -1.49 50.47 99.15
21:27:10 -1.10 50.47 99.15
21:27:11 -1.17 50.47 99.15
21:27:12 -1.47 50.47 99.15
21:27:13 -1.34 50.47 99.15
21:27:14 -1.32 50.47 99.15
21:27:15 -1.34 50.47 99.15
21:27:16 -1.46 50.47 99.15
21:27:17 -1.24 50.47 99.15
21:27:18 -1.03 50.47 99.15
21:27:19 -0.94 50.47 99.15
21:27:20 -1.39 50.47 99.15
21:27:21 -1.30 50.47 99.15
21:27:22 -1.67 50.47 99.15
21:27:23 -1.36 50.47 99.15
21:27:24 -1.08 50.47 99.15
21:27:25 -1.23 50.47 99.15
21:27:26 -0.88 50.47 99.15
21:27:27 -1.35 50.47 99.15
21:27:28 -1.24 50.47 99.15
21:27:29 -1.30 50.47 99.15
21:27:30 -1.49 50.47 99.15
21:27:31 -1.39 50.47 99.15
21:27:32 -1.21 50.47 99.15
21:27:33 -1.25 50.47 99.15
21:27:34 -1.44 50.47 99.15
21:27:35 -1.29 50.47 99.15
21:27:36 -1.29 50.47 99.15
21:27:37 -1.27 50.47 99.15
21:27:38 -1.48 50.47 99.15
21:27:39 -1.54 50.47 99.15
21:27:40 -1.38 50.47 99.15
21:27:41 -1.14 50.47 99.15
21:27:42 -1.20 50.47 99.15
21:27:43 -1.37 50.47 99.15
21:27:44 -1.24 50.47 99.15
21:27:45 -1.21 50.47 99.15
21:27:46 -1.17 50.47 99.15
21:27:47 -1.58 50.47 99.15
21:27:48 -1.12 50.47 99.15
21:27:49 -1.02 50.47 99.15
21:27:50 -0.62 50.47 99.15
21:27:51 -0.83 50.47 99.15
21:27:52 -0.55 50.47 99.15
21:27:53 0.40 50.47 99.15
21:27:54 0.59 50.47 99.15
21:27:55 1.64 50.47 99.15
21:27:56 2.60 50.47 99.15
21:27:57 3.91 50.47 99.15
21:27:58 4.52 50.47 99.15
21:27:59 5.12 50.47 99.15
21:28:00 6.81 50.47 99.15
21:28:01 7.98 50.47 99.15
21:28:02 8.91 50.47 99.15
21:28:03 10.90 50.47 99.15
21:28:04 11.99 50.47 99.15
21:28:05 13.02 50.47 99.15
21:28:06 14.27 50.47 99.15
21:28:07 15.72 50.47 99.15
21:28:08 16.50 50.47 99.15
21:28:09 17.63 50.47 99.15
21:28:10 19.04 50.47 99.15
21:28:11 20.11 50.47 99.15
21:28:12 20.77 50.47 99.15
21:28:13 21.60 50.47 99.15
21:28:14 22.04 50.47 99.15
21:28:15 22.96 50.47 99.15
21:28:16 23.50 50.47 99.15
21:28:17 24.43 50.47 99.15
21:28:18 25.00 50.47 99.15
21:28:19 25.04 50.47 99.15
21:28:20 25.98 50.47 99.15
21:28:21 25.81 50.47 99.15
21:28:22 25.89 50.47 99.15
21:28:23 26.88 50.47 99.15
21:28:24 26.79 50.47 99.15
21:28:25 27.01 50.47 99.15
21:28:26 27.38 50.47 99.15
21:28:27 27.60 50.47 99.15
21:28:28 27.69 50.47 99.15
21:28:29 28.33 50.47 99.15
21:28:30 27.63 50.47 99.15
21:28:31 28.14 50.47 99.15
21:28:32 28.56 50.47 99.15
21:28:33 28.59 50.47 99.15
21:28:34 28.83 50.47 99.15
21:28:35 28.68 50.47 99.15
21:28:36 28.94 50.47 99.15
21:28:37 28.92 50.47 99.15
21:28:38 28.47 50.47 99.15
21:28:39 29.19 50.47 99.15
21:28:40 29.11 50.47 99.15
21:28:41 29.22 50.47 99.15
21:28:42 28.95 50.47 99.15
21:28:43 28.93 50.47 99.15
21:28:44 29.07 50.47 99.15
21:28:45 29.08 50.47 99.15
21:28:46 28.59 50.47 99.15
21:28:47 29.24 50.47 99.15
21:28:48 29.26 50.47 99.15
21:28:49 29.14 50.47 99.15
21:28:50 29.07 50.47 99.15
21:28:51 28.78 50.47 99.15
21:28:52 28.66 50.47 99.15
21:28:53 28.85 50.47 99.15
21:28:54 28.85 50.47 99.15
21:28:55 29.39 50.47 99.15
21:28:56 29.01 50.47 99.15
21:28:57 28.89 50.47 99.15
21:28:58 29.13 50.47 99.15
21:28:59 29.14 50.47 99.15
21:29:00 29.18 50.47 99.15
21:29:01 28.61 50.47 99.15
21:29:02 29.35 50.47 99.15
21:29:03 29.38 50.47 99.15
21:29:04 28.92 50.47 99.15
21:29:05 29.11 50.47 99.15
21:29:06 29.27 50.47 99.15
21:29:07 28.94 50.47 99.15
21:29:08 28.40 50.47 99.15
21:29:09 29.05 50.47 99.15
21:29:10 28.84 50.47 99.15
21:29:11 28.88 50.47 99.15
21:29:12 29.22 50.47 99.15
21:29:13 28.92 50.47 99.15
21:29:14 28.86 50.47 99.16
21:29:15 29.21 50.47 99.16
21:29:16 28.93 50.47 99.16
21:29:17 29.20 50.47 99.16
21:29:18 29.05 50.47 99.16
21:29:19 28.71 50.47 99.16
21:29:20 28.47 50.47 99.16
21:29:21 27.96 50.47 99.16
21:29:22 28.07 50.47 99.16
21:29:23 27.68 50.47 99.16
21:29:24 27.42 50.47 99.16
21:29:25 27.48 50.47 99.16
21:29:26 27.26 50.47 99.16
21:29:27 26.92 50.47 99.16
21:29:28 26.54 50.47 99.16
21:29:29 26.32 50.47 99.16
21:29:30 26.75 50.47 99.16
21:29:31 26.23 50.47 99.16
21:29:32 25.92 50.47 99.16
21:29:33 26.50 50.47 99.16
21:29:34 25.59 50.47 99.15
21:29:35 25.88 50.47 99.15
21:29:36 25.41 50.47 99.16
21:29:37 25.23 50.47 99.16
21:29:38 25.29 50.47 99.16
21:29:39 25.42 50.47 99.16
21:29:40 25.04 50.47 99.15
21:29:41 25.21 50.47 99.15
21:29:42 24.50 50.47 99.15
21:29:43 24.84 50.47 99.15
21:29:44 24.36 50.47 99.16
21:29:45 24.62 50.47 99.15
21:29:46 24.15 50.47 99.15
21:29:47 24.02 50.47 99.16
21:29:48 24.29 50.47 99.16
21:29:49 24.19 50.47 99.16
21:29:50 24.12 50.47 99.16
21:29:51 23.35 50.47 99.16
21:29:52 23.00 50.47 99.16
21:29:53 23.11 50.47 99.16
21:29:54 22.91 50.47 99.15
21:29:55 23.21 50.47 99.15
21:29:56 22.68 50.47 99.15
21:29:57 22.46 50.47 99.15
21:29:58 22.46 50.47 99.16
21:29:59 22.78 50.47 99.15
21:30:00 23.87 50.47 99.15
21:30:01 27.28 50.47 99.15
21:30:02 32.11 50.47 99.15
21:30:03 37.52 50.47 99.15
21:30:04 43.59 50.47 99.16
21:30:05 47.59 50.47 99.16
21:30:06 51.40 50.47 99.15
21:30:07 52.98 50.47 99.15
21:30:08 54.09 50.47 99.15
21:30:09 55.20 50.47 99.15
21:30:10 55.50 50.47 99.15
21:30:11 56.23 50.47 99.16
21:30:12 55.47 50.47 99.15
21:30:13 54.99 50.47 99.15
21:30:14 54.34 50.47 99.15
21:30:15 53.86 50.47 99.15
21:30:16 53.13 50.47 99.15
21:30:17 52.05 50.47 99.15
21:30:18 51.58 50.47 99.15
21:30:19 51.05 50.47 99.15
21:30:20 49.96 50.47 99.15
21:30:21 48.90 50.47 99.15
21:30:22 48.68 50.47 99.15
21:30:23 47.71 50.47 99.15
21:30:24 47.06 50.47 99.15
21:30:25 46.54 50.47 99.15
21:30:26 45.58 50.47 99.15
21:30:27 45.36 50.47 99.16
21:30:28 45.06 50.47 99.16
21:30:29 44.53 50.47 99.16
21:30:30 43.82 50.47 99.16
21:30:31 43.61 50.47 99.16
21:30:32 43.24 50.47 99.16
21:30:33 42.87 50.47 99.16
21:30:34 41.73 50.47 99.16
21:30:35 41.90 50.47 99.16
21:30:36 41.35 50.47 99.16
21:30:37 40.88 50.47 99.16
21:30:38 40.81 50.47 99.16
21:30:39 40.54 50.47 99.16
21:30:40 40.04 50.47 99.16
21:30:41 39.40 50.47 99.16
21:30:42 39.11 50.47 99.15
21:30:43 39.22 50.47 99.15
21:30:44 38.45 50.47 99.16
21:30:45 38.22 50.47 99.16
21:30:46 37.99 50.47 99.15
21:30:47 37.97 50.47 99.15
21:30:48 37.52 50.47 99.15
21:30:49 36.83 50.47 99.16
21:30:50 36.81 50.47 99.16
21:30:51 36.75 50.47 99.16
21:30:52 36.29 50.47 99.16
21:30:53 36.18 50.47 99.15
21:30:54 35.92 50.47 99.15
21:30:55 35.80 50.47 99.15
21:30:56 35.56 50.47 99.15
21:30:57 34.78 50.47 99.15
21:30:58 34.71 50.47 99.15
21:30:59 34.60 50.47 99.15
21:31:00 33.91 50.47 99.16
21:31:01 33.63 50.47 99.16
21:31:02 33.61 50.47 99.15
21:31:03 32.59 50.47 99.15
21:31:04 32.34 50.47 99.15
21:31:05 31.85 50.47 99.15
21:31:06 31.25 50.47 99.15
21:31:07 31.31 50.47 99.15
21:31:08 30.76 50.47 99.15
21:31:09 30.39 50.47 99.15
21:31:10 30.43 50.47 99.15
21:31:11 29.74 50.47 99.15
21:31:12 29.61 50.47 99.16
21:31:13 29.47 50.47 99.15
21:31:14 29.26 50.47 99.15
21:31:15 29.06 50.47 99.15
21:31:16 28.58 50.47 99.15
21:31:17 28.56 50.47 99.15
21:31:18 28.51 50.47 99.15
21:31:19 27.80 50.47 99.16
21:31:20 27.81 50.47 99.15
21:31:21 27.79 50.47 99.15
21:31:22 27.18 50.47 99.15
21:31:23 26.87 50.47 99.16
21:31:24 26.93 50.47 99.16
21:31:25 26.76 50.47 99.15
21:31:26 26.34 50.47 99.15
21:31:27 26.07 50.47 99.15
21:31:28 25.82 50.47 99.15
21:31:29 25.14 50.47 99.16
21:31:30 25.41 50.47 99.15
21:31:31 25.07 50.47 99.15
21:31:32 25.04 50.47 99.15
21:31:33 25.07 50.47 99.15
21:31:34 24.49 50.47 99.15
21:31:35 24.28 50.47 99.15
21:31:36 24.29 50.47 99.15
21:31:37 23.84 50.47 99.15
21:31:38 23.44 50.47 99.15
21:31:39 23.69 50.47 99.15
21:31:40 23.23 50.47 99.15
21:31:41 23.09 50.47 99.16
21:31:42 22.68 50.47 99.15
21:31:43 22.62 50.47 99.15
21:31:44 22.31 50.47 99.16
21:31:45 22.27 50.47 99.15
21:31:46 21.63 50.47 99.15
21:31:47 21.30 50.47 99.15
21:31:48 21.39 50.47 99.15
21:31:49 21.02 50.47 99.15
21:31:50 20.94 50.47 99.15
21:31:51 20.85 50.47 99.15
21:31:52 20.59 50.47 99.15
21:31:53 20.45 50.47 99.15
21:31:54 19.73 50.47 99.15
21:31:55 19.47 50.47 99.15
21:31:56 20.00 50.47 99.16
21:31:57 19.30 50.47 99.16
21:31:58 18.99 50.47 99.16
21:31:59 18.80 50.47 99.16
21:32:00 18.76 50.47 99.16
21:32:01 18.04 50.47 99.16
21:32:02 18.19 50.47 99.16
21:32:03 17.94 50.47 99.16
21:32:04 17.34 50.47 99.16
21:32:05 17.01 50.47 99.16
21:32:06 16.77 50.47 99.16
21:32:07 16.51 50.47 99.15
21:32:08 17.01 50.47 99.15
21:32:09 15.64 50.47 99.15
21:32:10 15.95 50.47 99.15
21:32:11 15.60 50.47 99.16
21:32:12 15.52 50.47 99.16
21:32:13 15.26 50.47 99.16
21:32:14 15.17 50.47 99.15
21:32:15 14.60 50.47 99.15
21:32:16 15.69 50.47 99.15
21:32:17 18.12 50.47 99.15
21:32:18 20.71 50.47 99.16
21:32:19 25.91 50.47 99.16
21:32:20 32.40 50.47 99.16
21:32:21 36.23 50.47 99.16
21:32:22 38.46 50.47 99.16
21:32:23 39.31 50.47 99.15
21:32:24 39.21 50.47 99.15
21:32:25 38.72 50.47 99.16
21:32:26 37.30 50.47 99.16
21:32:27 36.48 50.47 99.16
21:32:28 35.52 50.47 99.16
21:32:29 33.95 50.47 99.16
21:32:30 32.90 50.47 99.16
21:32:31 31.99 50.47 99.16
21:32:32 30.81 50.47 99.16
21:32:33 29.85 50.47 99.15
21:32:34 29.15 50.47 99.15
21:32:35 28.69 50.47 99.15
21:32:36 27.66 50.47 99.15
21:32:37 27.06 50.47 99.16
21:32:38 26.17 50.47 99.15
21:32:39 25.70 50.47 99.15
21:32:40 25.14 50.47 99.15
21:32:41 24.56 50.47 99.15
21:32:42 24.29 50.47 99.16
21:32:43 23.97 50.47 99.15
21:32:44 23.51 50.47 99.15
21:32:45 22.81 50.47 99.15
21:32:46 22.55 50.47 99.15
21:32:47 22.43 50.47 99.16
21:32:48 21.58 50.47 99.15
21:32:49 21.43 50.47 99.15
21:32:50 21.07 50.47 99.15
21:32:51 20.74 50.47 99.16
21:32:52 20.68 50.47 99.16
21:32:53 20.55 50.47 99.16
21:32:54 19.54 50.47 99.15
21:32:55 19.74 50.47 99.15
21:32:56 19.45 50.47 99.15
21:32:57 18.69 50.47 99.15
21:32:58 18.93 50.47 99.16
21:32:59 18.87 50.47 99.16
21:33:00 18.43 50.47 99.16
21:33:01 18.58 50.47 99.16
21:33:02 18.20 50.47 99.16
21:33:03 18.02 50.47 99.16
21:33:04 16.93 50.47 99.16
21:33:05 17.65 50.47 99.16
21:33:06 17.25 50.47 99.16
21:33:07 17.19 50.47 99.15
21:33:08 17.03 50.47 99.15
21:33:09 16.10 50.47 99.16
21:33:10 16.42 50.47 99.16
21:33:11 16.93 50.47 99.15
21:33:12 19.14 50.47 99.15
21:33:13 21.94 50.47 99.15
21:33:14 25.10 50.47 99.15
21:33:15 26.88 50.47 99.16
21:33:16 28.17 50.47 99.15
21:33:17 28.23 50.47 99.15
21:33:18 28.52 50.47 99.15
21:33:19 28.21 50.47 99.15
21:33:20 27.66 50.47 99.15
21:33:21 26.96 50.47 99.16
