Organism,BGE_Glu,BGE_Suc,BGE_Pro
HMWF003,0.00078,0.00031,8e-05
HMWF004,0.00026,0.00035,NA
HMWF005,0.24624,0.15043,0.05358
HMWF006,0.24796,0.25607,0.0464
HMWF007,0.26358,0.1395,0.02363
HMWF008,0.00075,0.00042,0.00035
HMWF009,3e-04,0.00096,0.00019
HMWF010,0.00456,0.06176,0.00258
HMWF011,0.1101,0.00957,0.00546
HMWF014,0.15506,0.04359,9e-05
HMWF016,0.22748,0.01205,0.00032
HMWF018,0.32178,0.19044,0.17541
HMWF021,0.01355,0.00665,0.07451
HMWF022,0.00073,0.00048,1e-04
HMWF023,0.00032,0.00035,NA
HMWF025,0.00025,0.00027,1e-04
HMWF029,0.01775,0.01188,0.01973
HMWF031,0.13081,0.25019,0.16393
HMWF034,0.06099,0.01296,0.00448
HMWF036,0.02082,0.01043,0.00013
