Sample	CPM
Background	22.00
Voucher	1475748
HMWF005	2340686
HMWF005	2267901
HMWF005	2308190
HMWF005_DC	315795
HMWF005_KC	2784.00
HMWF006	3836106
HMWF006	3845207
HMWF006	3772803
HMWF006_DC	681006
HMWF006_KC	3264.00
HMWF007	1991364
HMWF007	2010695
HMWF007	2045296
HMWF007_DC	26854
HMWF007_KC	5096.50
HMWF010	830739
HMWF010	830476
HMWF010	838520
HMWF010_DC	148570
HMWF010_KC	2359.00
HMWF011	107468
HWMF011	104737
HMWF011	111626
HMWF011_DC	10467.1
HMWF011_KC	2779.50
HWMF021	82644.4
HMWF021	84708.9
HMWF021	83008.0
HMWF021_DC	21638.6
HMWF021_KC	3058.60
HMWF031	4399461
HMWF031	4411401
HMWF031	4526462
HMWF031_DC	673155
HMWF031_KC	3209.70
HMWF032	737582
HMWF032	765128
HMWF032	744455
HMWF032_DC	106675
HMWF032_KC	3910.00
HMWF034	218263
HMWF034	189251
HMWF034	179300
HMWF034_DC	20203.6
HMWF034_KC	2871.50
