Organism,Glu_1c,Glu_2c,Glu_3c,Suc_1c,Suc_2c,Suc_3c,Pro_1c,Pro_2c,Pro_3c,Glu_mean,Glu_se,Suc_mean,Suc_se,Pro_mean,Pro_se
HMWF003,0.003,0.004,0.004,0.01,0.012,0.012,0.002,0.001,0.001,0.004,0,0.011,0.001,0.001,0
HMWF004,0.006,0.005,0.004,0.008,0.007,0.007,0.001,0.001,0.001,0.005,0.001,0.007,0,0.001,0
HMWF005,2.805,3.076,3.006,10.219,9.901,10.077,0.998,0.976,0.944,2.962,0.081,10.066,0.092,0.973,0.016
HMWF006,15.618,14.353,14.953,6.626,6.642,6.517,3.839,3.383,3.642,14.975,0.365,6.595,0.039,3.621,0.132
HMWF007,6.425,6.223,6.388,52.742,53.254,54.17,2.41,2.335,2.368,6.345,0.062,53.389,0.418,2.371,0.022
HMWF008,0.023,0.024,0.023,0.003,0.003,0.002,0.002,0.002,0.002,0.023,0,0.003,0,0.002,0
HMWF009,0.002,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0,0.001,0,0.001,0
HMWF010,0.507,0.503,0.492,1.031,1.031,1.041,0.152,0.157,0.151,0.501,0.004,1.034,0.003,0.153,0.002
HMWF011,1.374,1.393,1.389,4.269,4.161,4.435,1.021,0.941,0.93,1.385,0.006,4.288,0.08,0.964,0.029
HMWF014,0.48,0.482,0.488,1.226,0.127,0.124,0.001,0.001,0.001,0.483,0.002,0.492,0.367,0.001,0
HMWF015,NA,NA,NA,NA,NA,NA,0.013,0.013,0.013,NA,NA,NA,NA,0.013,0
HMWF016,2.23,2.096,1.924,3.481,3.486,3.41,0.022,0.022,0.021,2.083,0.089,3.459,0.025,0.022,0
HMWF017,NA,NA,NA,NA,NA,NA,0.002,0.002,0.002,NA,NA,NA,NA,0.002,0
HMWF018,14.234,14.631,13.764,12.514,13.128,12.814,26.419,25.336,25.257,14.21,0.251,12.819,0.177,25.671,0.375
HMWF021,0.315,0.315,0.338,0.566,0.58,0.569,1.009,1.091,1.026,0.323,0.008,0.572,0.004,1.042,0.025
HMWF022,0.008,0.007,0.008,0.055,0.045,0.046,0.014,0.015,0.046,0.008,0,0.049,0.003,0.025,0.011
HMWF023,0.449,0.495,0.483,0.086,0.097,0.086,NA,NA,NA,0.476,0.014,0.09,0.004,NA,NA
HMWF025,0.001,0.001,0.001,0.001,0.001,0.001,0.008,0.009,0.01,0.001,0,0.001,0,0.009,0.001
HMWF029,0.824,0.692,0.8,0.589,0.648,0.498,26.304,23.547,23.097,0.772,0.041,0.578,0.044,24.316,1.002
HMWF031,7.04,7.142,7.083,75.992,76.198,78.186,2.97,2.943,2.895,7.088,0.03,76.792,0.7,2.936,0.022
HMWF032,NA,NA,NA,NA,NA,NA,0.035,0.035,0.032,NA,NA,NA,NA,0.034,0.001
HMWF034,2.545,2.544,2.562,0.694,0.601,0.57,1.917,1.987,1.956,2.55,0.006,0.622,0.037,1.953,0.02
HMWF036,7.494,4.781,5.124,2.651,2.574,2.447,0.1,0.105,0.091,5.8,0.853,2.557,0.059,0.099,0.004
