isolate,umax
HMWF001,0.102
HMWF003,0.085
HMWF004,0.062
HMWF005,0.126
#HMWF005,0.087
HMWF006,0.134
HMWF007,0.123
HMWF008,0.057
HMWF009,0.035
HMWF010,0.065
#HMWF010,0.046
HMWF011,0.137
HMWF013,0.123
HMWF014,0.161
HMWF015,0.103
HMWF016,0.074
HMWF017,0.12
#HMWF017,0.082
HMWF018,0.064
HMWF019,0.064
HMWF019,0.055
HMWF021,0.079
HMWF022,0.101
HMWF023,0.108
#HMWF023,0.08
HMWF025,0.024
HMWF026,0.141
#HMWF026,0.076
HMWF028,0.102
HMWF029,0.071
HMWF030,0.116
HMWF031,0.112
HMWF032,0.207
HMWF034,0.191
HMWF035,0.083
HMWF036,0.065
