Organism,Glu_1c,Glu_2c,Glu_3c,Suc_1c,Suc_2c,Suc_3c,Pro_1c,Pro_2c,Pro_3c,Glu_mean,Glu_se,Suc_mean,Suc_se,Pro_mean,Pro_se
HMWF003,0.004,0.005,0.005,0.013,0.016,0.016,0.002,0.001,0.001,0.005,0,0.015,0.001,0.001,0
HMWF004,0.008,0.007,0.005,0.011,0.009,0.009,0,0,0,0.007,0.001,0.01,0.001,0,0
HMWF005,3.974,4.357,4.258,14.475,14.025,14.274,1.413,1.382,1.337,4.196,0.115,14.258,0.13,1.377,0.022
HMWF006,22.124,20.331,21.181,9.386,9.409,9.231,5.436,4.79,5.157,21.212,0.518,9.342,0.056,5.128,0.187
HMWF007,9.101,8.816,9.048,74.706,75.432,76.73,3.411,3.305,3.351,8.988,0.088,75.623,0.592,3.356,0.031
HMWF008,0.032,0.033,0.031,0.004,0.004,0.003,0.001,0.001,0.001,0.032,0.001,0.004,0,0.001,0
HMWF009,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0,0.001,0,0.001,0
HMWF010,0.715,0.709,0.693,1.461,1.46,1.474,0.213,0.219,0.212,0.706,0.007,1.465,0.005,0.215,0.002
HMWF011,1.945,1.973,1.967,6.032,5.878,6.266,1.438,1.324,1.309,1.962,0.009,6.059,0.113,1.357,0.041
HMWF014,0.68,0.683,0.691,1.736,0.179,0.175,0.002,0.002,0.002,0.685,0.003,0.697,0.52,0.002,0
HMWF015,NA,NA,NA,NA,NA,NA,0.014,0.015,0.015,NA,NA,NA,NA,0.015,0
HMWF016,3.158,2.968,2.725,4.92,4.927,4.819,0.029,0.029,0.028,2.95,0.125,4.889,0.035,0.029,0
HMWF017,NA,NA,NA,NA,NA,NA,0.002,0.002,0.002,NA,NA,NA,NA,0.002,0
HMWF018,20.164,20.726,19.497,17.727,18.597,18.152,37.418,35.885,35.773,20.129,0.355,18.159,0.251,36.359,0.531
HMWF021,0.444,0.444,0.476,0.799,0.819,0.803,1.429,1.546,1.452,0.455,0.011,0.807,0.006,1.476,0.036
HMWF022,0.01,0.01,0.01,0.072,0.058,0.06,0.012,0.014,0.058,0.01,0,0.063,0.004,0.028,0.015
HMWF023,0.579,0.645,0.628,0.107,0.123,0.108,NA,NA,NA,0.617,0.02,0.113,0.005,NA,NA
HMWF025,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.003,0.004,0.001,0,0.001,0,0.003,0.001
HMWF029,1.166,0.979,1.132,0.832,0.916,0.704,37.111,33.205,32.567,1.092,0.058,0.817,0.062,34.294,1.42
HMWF031,9.97,10.116,10.032,107.648,107.94,110.756,4.207,4.169,4.101,10.039,0.042,108.781,0.991,4.159,0.031
HMWF032,NA,NA,NA,NA,NA,NA,0.049,0.049,0.045,NA,NA,NA,NA,0.048,0.001
HMWF034,3.604,3.602,3.629,0.981,0.851,0.806,2.699,2.798,2.755,3.612,0.009,0.879,0.052,2.751,0.029
HMWF036,10.601,6.758,7.244,3.747,3.639,3.459,0.117,0.125,0.105,8.201,1.208,3.615,0.084,0.116,0.006
