Sample	CPM
Background	26.00
Voucher	1610084
Background	20.00
Voucher	1638059
HMWF003	2130.00
HMWF003	863.00
HMWF003	1287.70
HMWF003_DC	395.00
HMWF003_KC	323.50
HMWF004	323.00
HMWF004	319.10
HMWF004	340.10
HMWF004_DC	341.00
HMWF004_KC	352.00
HMWF008	433.00
HMWF008	467.50
HMWF008	479.50
HMWF008_DC	409.50
HMWF008_KC	523.50
HMWF009	710.60
HMWF009	544.10
HMWF009	569.50
HMWF009_DC	318.00
HMWF009_KC	358.50
HMWF014	1610.60
HMWF014	1555.00
HMWF014	1602.60
HMWF014_DC	539.00
HMWF014_KC	335.50
HMWF015	1397.00
HMWF015	1470.60
HMWF015	1443.10
HMWF015_DC	786.50
HMWF015_KC	321.00
HMWF016	4553.60
HMWF016	4583.70
HMWF016	4431.50
HMWF016_DC	1285.60
HMWF016_KC	591.00
HMWF017	1380.50
HMWF017	1355.00
HMWF017	1458.00
HMWF017_DC	1001.70
HMWF017_KC	391.50
HMWF018	1436372
HMWF018	1377530
HMWF018	1373207
HMWF018_DC	123058
HMWF018_KC	327.00
HMWF022	781.00
HMWF022	864.00
HMWF022	2679.00
HMWF022_DC	383.00
HMWF022_KC	364.00
HMWF023	851.50
HMWF023	796.00
HMWF023	795.10
HMWF023_DC	374.50
HMWF023_KC	294.50
HMWF025	356.00
HMWF025	376.20
HMWF025	406.60
HMWF025_DC	396.50
HMWF025_KC	368.00
HMWF029	72831.8
HMWF029	65198.7
HMWF029	63950.6
HMWF029_DC	5750.50
HMWF029_KC	308.70
HMWF036	1739.10
HMWF036	1829.60
HMWF036	1588.70
HMWF036_DC	950.50
HMWF036_KC	381.00
