Sample	CPM
Background	18.00
Voucher	1526065
HMWF005	660598
HMWF005	646214
HMWF005	625047
HMWF005_DC	85491.7
HMWF005_KC	2914.60
HMWF006	657134
HMWF006	579026
HMWF006	623341
HMWF006_DC	92446.2
HMWF006_KC	2695.50
HMWF007	297263
HMWF007	288057
HMWF007	292012
HMWF007_DC	35753.2
HMWF007_KC	2903.50
HMWF010	26057.1
HMWF010	26816.5
HMWF010	25870.3
HMWF010_DC	6351.50
HMWF010_KC	2501.00
HMWF011	51405.6
HMWF011	47361.1
HMWF011	46819.1
HMWF011_DC	7797.00
HMWF011_KC	2202.60
HMWF021	1041042
HMWF021	1126431
HMWF021	1058415
HMWF021_DC	41436.1
HMWF021_KC	3371.10
HMWF031	2915720
HMWF031	2889250
HMWF031	2842321
HMWF031_DC	336484
HMWF031_KC	3302
HMWF032	16878.6
HMWF032	16774.1
HMWF032	15344.6
HMWF032_DC	4959.00
HMWF032_KC	4960.50
HMWF034	48727.0
HMWF034	50503.7
HMWF034	49733.2
HMWF034_DC	7185.50
HMWF034_KC	2626.50
