Sample	CPM
Background	71.10
Voucher	1511387
HMWF003	3171.60
HMWF003	3665.00
HMWF003	3748.50
HMWF003_DC	2837.50
HMWF003_KC	2014.50
HMWF004	3442.60
HMWF004	2779.80
HMWF004	2938.50
HMWF004_DC	3349.60
HMWF004_KC	2115.60
HMWF008	3299.60
HMWF008	3405.50
HMWF008	2370.00
HMWF008_DC	2736.10
HMWF008_KC	1815.10
HMWF009	2777.50
HMWF009	3100.10
HMWF009	2595.50
HMWF009_DC	3235.10
HMWF009_KC	2230.00
HMWF014	1110810
HMWF014	114645
HMWF014	112495
HMWF014_DC	17539.7
HMWF014_KC	2368.00
HMWF015	101666
HMWF015	103705
HMWF015	99879.1
HMWF015_DC	18878.7
HMWF015_KC	2316.50
HMWF016	131435
HMWF016	131626
HMWF016	128745
HMWF016_DC	19723.6
HMWF016_KC	2311.50
HMWF017	84822.6
HMWF017	86192.6
HMWF017	87308.1
HMWF017_DC	12858.7
HMWF017_KC	2884.10
HMWF018	4157841
HMWF018	4362010
HMWF018	4257571
HMWF018_DC	503936
HMWF018_KC	4186.50
HMWF022	4035.00
HMWF022	3277.00
HMWF022	3367.00
HMWF022_DC	3099.50
HMWF022_KC	3750.60
HMWF023	2584.50
HMWF023	2920.00
HMWF023	2605.60
HMWF023_DC	3108.10
HMWF023_KC	2680.50
HMWF025	1446.60
HMWF025	1670.60
HMWF025	1657.00
HMWF025_DC	1278.00
HMWF025_KC	1446.00
HMWF029	120063
HMWF029	132127
HMWF029	101632
HMWF029_DC	24557.0
HMWF029_KC	2615.00
HMWF036	133436
HMWF036	129601
HMWF036	123213
HMWF036_DC	20102.5
HMWF036_KC	2508.10
