Sample	CPM
Background	9.10
Voucher	1525433
HMWF003	3111.10
HMWF003	3762.50
HMWF003	3312.50
HMWF003_DC	2750.10
HMWF003_KC	2498.00
HMWF004	4332.00
HMWF004	3605.50
HMWF004	2776.50
HMWF004_DC	3314.60
HMWF004_KC	2870.70
HMWF008	8794.00
HMWF008	9088.50
HMWF008	8616.60
HMWF008_DC	3313.10
HMWF008_KC	2382.50
HMWF009	3508.00
HMWF009	3094.00
HMWF009	3515.60
HMWF009_DC	2653.50
HMWF009_KC	4266.60
HMWF014	556341
HMWF014	558628
HMWF014	565243
HMWF014_DC	65342.5
HMWF014_KC	3037.50
HMWF015	413687
HMWF015	390712
HMWF015	365043
HMWF015_DC	52832.8
HMWF015_KC	4318.60
HMWF016	2357268
HMWF016	2215418
HMWF016	2034035
HMWF016_DC	319870
HMWF016_KC	5605.00
HMWF017	157111
HMWF017	111334
HMWF017	120217
HMWF017_DC	14861.0
HMWF017_KC	2868.00
HMWF018	4765247
HMWF018	4898109
HMWF018	4607742
HMWF018_DC	643654
HMWF018_KC	3026.20
HMWF022	3631.50
HMWF022	3541.50
HMWF022	3861.70
HMWF022_DC	3920.50
HMWF022_KC	3122.10
HMWF023	3388.00
HMWF023	3737.10
HMWF023	3646.10
HMWF023_DC	3477.50
HMWF023_KC	2901.50
HMWF025	3223.50
HMWF025	3023.50
HMWF025	3611.50
HMWF025_DC	4128.00
HMWF025_KC	2526.00
HMWF029	290462
HMWF029	243863
HMWF029	281923
HMWF029_DC	35028.3
HMWF029_KC	2308.20
HMWF036	207484
HMWF036	132390
HMWF036	141886
HMWF036_DC	19770.5
HMWF036_KC	3097.00
