Sample	CPM
Background	25.10
Voucher	1480187
HMWF005	2824339
HMWF005	3096586
HMWF005	3026268
HMWF005_DC	274753
HMWF005_KC	2332.00
HMWF006	3145031
HMWF006	2890201
HMWF006	3011041
HMWF006_DC	262806
HMWF006_KC	2170.00
HMWF007	3557693
HMWF007	3446294
HMWF007	3537293
HMWF007_DC	304386
HMWF007_KC	3458.50
HMWF010	63827.0
HMWF010	63309.0
HMWF010	61865.2
HMWF010_DC	9413.50
HMWF010_KC	3069.00
HMWF011	829850
HWMF011	841600
HMWF011	838947
HMWF011_DC	46787.5
HMWF011_KC	1723.60
HWMF021	50790.6
HMWF021	50816.0
HMWF021	54388.5
HMWF021_DC	16652.6
HMWF021_KC	1961.60
HMWF031	1098604
HMWF031	1114642
HMWF031	1105385
HMWF031_DC	18550.6
HMWF031_KC	2402.50
HMWF032	68963.9
HMWF032	70366.6
HMWF032	70011.8
HMWF032_DC	10811.6
HMWF032_KC	3637.10
HMWF034	1037593
HMWF034	1037229
HMWF034	1044853
HMWF034_DC	61279.5
HMWF034_KC	3437.00
