Curve,b0,A,umax,L,z,umax.lw,umax.up,umax.lw.FI,umax.up.FI
A2,0.1062,2.447,0.0622,9.7987,-6.876,0.054,0.0668,0.0522,0.0723
A3,0.1144,0.7152,0.0851,3.5354,-5.0666,0.0827,0.0876,0.0827,0.0875
A5,0.6531,-0.5443,0.0908,13.3266,-5.854,0.0894,0.0922,0.0895,0.0922
A6,0.2984,-0.2138,0.0259,12.0538,-5.7897,0.0246,0.0269,0.0248,0.027
B4,0.5911,-0.5315,0.0862,9.047,-5.0695,0.0827,0.0897,0.0828,0.0895
B5,0.1183,0.5583,0.0795,2.2395,-5.1023,0.0766,0.0825,0.0767,0.0823
B6,0.1189,0.7318,0.0571,3.6489,-6.3936,0.0566,0.0575,0.0566,0.0575
B7,0.0933,0.6742,0.0634,2.8472,-4.821,0.0608,0.0662,0.0608,0.066
C4,0.1071,0.7311,0.0831,2.9253,-4.6701,0.0797,0.0867,0.0797,0.0864
C5,0.109,0.5562,0.0841,3.9236,-5.0371,0.0806,0.0878,0.0806,0.0876
C7,0.5934,-0.5056,0.0419,17.6072,-6.8407,0.0409,0.0431,0.0409,0.0429
D1,0.1047,0.2566,0.0239,4.3867,-6.0119,0.0231,0.0247,0.0231,0.0246
D2,0.1342,0.5837,0.0821,3.0517,-4.8864,0.0789,0.0855,0.0789,0.0853
D3,0.1188,0.698,0.0537,3.4146,-6.5723,0.0533,0.054,0.0533,0.054
D4,0.0861,0.7861,0.0648,2.8914,-4.5193,0.0618,0.068,0.0618,0.0678
D5,0.1223,0.5598,0.0852,2.2933,-4.8736,0.0817,0.0889,0.0817,0.0887
E1,0.641,-0.626,0.0741,9.2923,-5.0987,0.0716,0.0767,0.0716,0.0765
E2,0.1064,0.6794,0.0823,5.0072,-5.2989,0.0801,0.0846,0.0801,0.0844
E3,0.1198,0.7264,0.0546,3.6132,-6.5706,0.0542,0.0549,0.0542,0.0549
E4,0.1331,0.5856,0.0818,3.146,-4.804,0.0783,0.0855,0.0783,0.0853
E5,0.1053,3.2015,0.0749,11.9573,-6.8821,0.0618,0.0831,0.0742,0.0756
E8,0.3028,-0.2157,0.0277,12.0005,-6.4819,NA,NA,0.0271,0.0283
F2,0.1173,0.6987,0.0861,3.6748,-5.0785,0.0837,0.0887,0.0837,0.0885
F3,0.0932,0.7929,0.0639,3.6762,-4.5394,0.0612,0.067,0.0612,0.0667
